SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
26-Jan-95,,Ashton vale,4,7,,690,,23,0.124,0.072,73000,36000,,,,,,,74.13318049
26-Jan-95,,Hartcliffe Way,5,7,,550,,50,0.046,0.11,19000,4000,,,,,,,70.83906284
26-Jan-95,,Manor Wood,6,7,,660,,10,0.055,1,47000,6300,,,,,,,73.42729814
26-Jan-95,,Gas works at Malago Vale,7,7,,780,,22,0.055,0.35,8600,6000,,,,,,,76.25082755
26-Jan-95,,Lynet Way,8,7,,570,,8,0.077,0.06,4700,1400,,,,,,,71.30965108
26-Jan-95,,Allison Road,9,7,,590,,7,0,0.8,22000,19000,,,,,,,71.78023932
26-Jan-95,,Cadogan Road,10,8,,710,,3,0.021,0.076,110000,45000,,,,,,,74.60376873
26-Jan-95,,St Georges Park Lake,11,6,,470,,5,0.018,0.13,1000,740,,,,,,,68.9567099
26-Jan-95,,Dubbers Lane,12,10,,1650,,6,0.254,0.15,61000,4200,,,,,,,96.72141579
26-Jan-95,,Eastville Park Lake,13,6,,530,,1,0.009,0.012,480,200,,,,,,,70.36847461
26-Jan-95,,Snuff Mills,14,7,,480,,75,0.057,>1,20000,8100,,,,,,,69.19200402
27-Jan-95,,Avonmouth Rhine,1,3,,1700,,19,0.023,0.13,400,<200,,,,,,,97.89788637
27-Jan-95,,Trowbridge Road,2,8,,750,,3,0.034,0.11,380000,20000,,,,,,,75.5449452
27-Jan-95,,Coombe Dingle,3,7,,820,,3,0.019,0.055,8500,800,,,,,,,77.19200402
27-Jan-95,,Mina Park ,15,9,,1060,,2,0.036,0.8,11000,2400,,,,,,,82.83906284
22-Feb-95,,Avonmouth Rhine,1,8,7,800,,3,0.09,0.051,200,<200,,,4,,,,72.4410482
22-Feb-95,,Trowbridge Road,2,8,8,900,,0,0.03,>1,110000,24000,,,3,,,,84.85934886
22-Feb-95,,Coombe Dingle,3,9,8,800,,1,0.012,>1,28000,2000,,,3,,,,82.50640768
22-Feb-95,,Ashton vale,4,8,8,900,,0,0.169,1,18000,2200,,,3,,,,84.85934886
22-Feb-95,,Hartcliffe Way,5,8,8,,,1,0.036,>1,34000,2500,,,2,,,,79.71012178
24-Feb-95,,Manor Wood,6,,8,,,1,0.027,>1,62000,33000,,,4,,,,88.33757276
24-Feb-95,,Gas works at Malago Vale,7,,8,,,4,0.387,>1,20000,5400,,,4,,,,88.33757276
24-Feb-95,,Lynet Way,8,8,8,,,2,0.051,>1,6000,800,,,2,,,,79.71012178
24-Feb-95,,Allison Road,9,8,7,,,1,0.218,0.068,190000,38000,,,4,,,,73.95848779
24-Feb-95,,Cadogan Road,10,9,7,1080,,0,0.143,>1,16000,4400,,,8,,,,96.28418546
24-Feb-95,,St Georges Park Lake,11,6,7,,,1,0.006,0.28,22000,4000,,,9,,,,95.52711525
24-Feb-95,,Dubbers Lane,12,11,7,,,0,0.5,0.17,32000,4000,,,46,,,,255.1349584
24-Feb-95,,Eastville Park Lake,13,6,7,,,0,0.034,0.75,200,<200,,,6,,,,82.58593878
24-Feb-95,,Snuff Mills,14,7,8,,,1,0.003,>1,10000,2200,,,3,,,,84.02384727
24-Feb-95,,Mina Park ,15,9,8,,,0,0.044,>1,11000,6800,,,3,,,,84.02384727
22-Mar-95,,Dubbers Lane,12,11,8,860,,1,0.5,0.012,19200,15400,,,16,,,,139.9966038
22-Mar-95,,Eastville Park Lake,13,8,8,880,,1,0.044,0.25,440,50,,,5,,,,93.0162116
22-Mar-95,,Snuff Mills,14,6,7,860,,1,0.001,0.14,5800,160,,,2,,,,65.22536193
22-Mar-95,,Mina Park ,15,10,8,820,,1,0.003,0.14,91800,1800,,,2,,,,78.66327042
23-Mar-95,,Avonmouth Rhine,1,10,8,,,9,0.007,0.6,20,<20,,,6,,,,96.96502374
23-Mar-95,,Trowbridge Road,2,9,8,,,6,0.003,>1,40000,40000,,,7,,,,101.2787492
23-Mar-95,,Coombe Dingle,3,10,8,,,5,0.004,>1,4800,1600,,,3,,,,84.02384727
23-Mar-95,,Ashton vale,4,6,8,1160,,16,0.003,0.47,21000,800,,,15,,,,142.7417018
23-Mar-95,,Hartcliffe Way,5,7,7,980,,3,0.003,>1,16000,1100,,,4,,,,76.67634232
23-Mar-95,,Manor Wood,6,7,7,980,,4,0.023,>1,40000,>32000,,,3,,,,72.36261683
23-Mar-95,,Gas works at Malago Vale,7,8,7,1040,,9,0.006,>1,7800,4800,,,3,,,,73.77438153
23-Mar-95,,Lynet Way,8,9,8,,,1,0.004,>1,4000,>2000,,,2,,,,79.71012178
23-Mar-95,,Allison Road,9,8,9,,,3,0.006,>1,22000,17000,,,5,,,,107.0303832
23-Mar-95,,Cadogan Road,10,9,7,,,13,0.006,0.53,40000,>40000,,,9,,,,95.52711525
26-Apr-95,,Avonmouth Rhine,1,11,7,,,12,0.408,0.043,20,<20,,,4,,,,73.95848779
26-Apr-95,,Trowbridge Road,2,10,8,,,8,0.019,0.059,40000,>40000,,,53,,,,299.7101218
26-Apr-95,,Coombe Dingle,3,10,8,,,0,0.032,0.036,12000,1400,,,1,,,,75.39639629
26-Apr-95,,Ashton vale,4,10,8,,,2,0.5,0.8,30000,8600,,,4,,,,88.33757276
26-Apr-95,,Hartcliffe Way,5,10,8,,,2,0.079,0.55,6400,200,,,1,,,,75.39639629
26-Apr-95,,Manor Wood,6,10,8,,,1,0.067,1,36000,36000,,,4,,,,88.33757276
26-Apr-95,,Cadogan Road,10,11,8,,,6,0.5,>1,40000,52000,,,5,,,,92.65129825
26-Apr-95,,St Georges Park Lake,11,,,,,,,,80000,11000,,,,,,,78.23885538
28-Apr-95,,Gas works at Malago Vale,7,10,8,,,2,0.053,1,14000,7000,,,2,,,,79.71012178
28-Apr-95,,Lynet Way,8,9,8,,,5,0.016,>1,50000,2000,,,3,,,,84.02384727
28-Apr-95,,Allison Road,9,9,8,,,4,1,>1,48000,5600,,,3,,,,84.02384727
28-Apr-95,,Dubbers Lane,12,12,8,,,13,0.007,0,64000,14000,,,12,,,,122.8473767
28-Apr-95,,Eastville Park Lake,13,12,8,,,16,0.027,,740,120,,,8,,,,105.5924747
28-Apr-95,,Snuff Mills,14,10,8,,,1,0.004,0.369,520,120,,,1,,,,75.39639629
28-Apr-95,,Mina Park ,15,11,8,,,1,0.012,>1,3400,42000,,,2,,,,79.71012178
21-Jun-95,,Avonmouth Rhine,1,18,7.5,2610,67,75,0.2,0.094,72000,500,,,51,,,,327.6638072
21-Jun-95,,Trowbridge Road,2,15,7.6,700,66,26,0.06,>1,52000,22000,,,14,,,,124.7263072
21-Jun-95,,Coombe Dingle,3,14,7.6,776,86,16,0.301,>1,2700,450,,,1,,,,66.96388889
21-Jun-95,,Ashton vale,4,14,7.4,116,65,21,0.099,1,26000,4100,,,3,,,,60.83194444
21-Jun-95,,Hartcliffe Way,5,16,7.6,650,112,17,0.28,0.085,1600,200,,,2,,,,63.79901961
21-Jun-95,,Manor Wood,6,14,7.4,643,79,25,0.077,0.2,42000,12000,,,3,,,,70.80138889
21-Jun-95,,Gas works at Malago Vale,7,15,7.6,766,70,50,0.084,0.11,3700,500,,,2,,,,73.82009804
21-Jun-95,,Lynet Way,8,16,8.1,764,88,9,0.055,0.17,280000,36000,,,11,,,,116.6611111
21-Jun-95,,Cadogan Road,10,14,7.6,800,60,35,0.178,0.2,32000,19000,,,30,,,,197.1405229
23-Jun-95,,Allison Road,9,13,7.5,770,71,7,0.067,0.42,260000,58000,,,3,,,,76.61642157
23-Jun-95,,St Georges Park Lake,11,20,7.6,810,45,20,0.074,0.089,1600,400,,,5,,,,92.13684641
23-Jun-95,,Dubbers Lane,12,13,7.7,2350,108,15,0.048,0.021,190000,24000,,,26,,,,209.4607843
23-Jun-95,,Eastville Park Lake,13,22,7.7,790,106,19,0.006,0.021,3200,200,,,18,,,,138.5923203
23-Jun-95,,Snuff Mills,14,15,7.9,740,97,31,0.018,0.8,1400,200,,,3,,,,77.14828431
23-Jun-95,,Mina Park ,15,12,7.7,1060,88,62,0.082,0.055,72000,8600,,,6,,,,96.30555556
23-Jun-95,,Conham Vale,16,17,8.1,770,,34,0,0.31,20000,3200,,,,,,,87.83202833
19-Jul-95,,Avonmouth Rhine,1,,,,,,0.121,0.34,6000,2200,,,28,,,,181.4883981
19-Jul-95,,Trowbridge Road,2,,,,,,0.183,0.055,4000000,2400000,,,17,,,,134.0374177
19-Jul-95,,Coombe Dingle,3,,,,,,0.009,0.021,7200,3200,,,2,,,,69.33153538
19-Jul-95,,Ashton vale,4,,,,,,0.099,0.068,310000,58000,,,4,,,,77.95898636
19-Jul-95,,Hartcliffe Way,5,,,,,,0.11,0.2,2000,200,,,12,,,,112.4687903
19-Jul-95,,Manor Wood,6,,,,,,0.079,,100000,56000,,,5,,,,82.27271185
19-Jul-95,,Gas works at Malago Vale,7,17,7.5,888,,0,0.027,0.021,18000,400,,,2,,,,73.07372794
19-Jul-95,,Lynet Way,8,18,7.9,840,,7,0.019,0.036,430000,110000,,,13,,,,125.1469306
19-Jul-95,,Allison Road,9,18,7.7,875,,59,0.189,1,180000,70000,,,6,,,,92.89856454
19-Jul-95,,Cadogan Road,10,17,7.54,908,,21,0.5,1,730000,220000,,,15,,,,130.1979109
19-Jul-95,,St Georges Park Lake,11,23,7.7,798,,69,0.431,1,600,400,,,4,,,,82.45934886
19-Jul-95,,Dubbers Lane,12,15,7.6,2240,,51,0.139,1,380000,84000,,,11,,,,145.1469306
19-Jul-95,,Eastville Park Lake,13,26,8.23,,,23,0.007,0.072,600,400,,,11,,,,121.8408407
19-Jul-95,,Snuff Mills,14,18,7.95,,,57,0.009,1,600,400,,,2,,,,78.99116753
19-Jul-95,,Mina Park ,15,14,7.9,,,52,0.012,1,12000,12000,,,2,,,,78.27221328
19-Jul-95,,Conham Vale,16,21,8,785,,152,0.093,1,8600,2600,,,3,,,,82.1534665
31-Aug-95,,Avonmouth Rhine,1,,,1664,,15,0.102,0.036,200,200,,,4,,,,96.77095853
31-Aug-95,,Trowbridge Road,2,,,890,,18,0.16,0.65,920000,560000,,,43,,,,246.7944879
31-Aug-95,,Coombe Dingle,3,,,1010,,22,0.004,0.24,4200,2400,,,2,,,,72.75527226
31-Aug-95,,Ashton vale,4,,,1160,,10,0.096,0.7,72000,1800,,,2,,,,76.28468402
31-Aug-95,,Hartcliffe Way,5,,,660,,18,0.084,0.22,2400,2000,,,3,,,,68.83370363
31-Aug-95,,Manor Wood,6,,,680,,19,0.124,0.24,86000,62000,,,3,,,,69.30429187
31-Aug-95,,Gas works at Malago Vale,7,,,881,,13,0.021,0.24,6400,1400,,,9,,,,99.91605657
31-Aug-95,,Lynet Way,8,,,920,,14,0.046,0.2,520000,38000,,,2,,,,70.6376252
01-Sep-95,,Allison Road,9,,,905,,43,0.042,>1,140000,18000,,,2,,,,70.28468402
01-Sep-95,,Cadogan Road,10,,,988,,46,0.353,0.13,6400000,1900000,,,63,,,,335.3748801
01-Sep-95,,St Georges Park Lake,11,,,953,,31,0.218,>1,3000,800,,,4,,,,80.04154677
01-Sep-95,,Dubbers Lane,12,,,2330,,54,0.212,>1,340000,220000,,,11,,,,142.6376252
01-Sep-95,,Eastville Park Lake,13,,,917,,24,0.027,0.047,2400,200,,,14,,,,122.3317428
01-Sep-95,,Snuff Mills,14,,,856,,34,0.006,0.12,2600,400,,,2,,,,69.13174285
01-Sep-95,,Mina Park ,15,,,1033,,64,0.046,>1,80000,11000,,,4,,,,81.92389971
01-Sep-95,,Conham Vale,16,,,818,,30,0.051,>1,11000,1200,,,8,,,,94.11997814
21-Sep-95,,Avonmouth Rhine,1,13,7.47,1440,60,18,0.5,0.6,3800,200,,,15,,,,145.624183
21-Sep-95,,Trowbridge Road,2,15,7.4,810,89,5,0.387,>1,720000,360000,,,5,,,,81.62214052
21-Sep-95,,Coombe Dingle,3,12,7.3,850,71,8,0.012,>1,15600,1200,,,2,,,,71.30923203
21-Sep-95,,Ashton vale,4,12,7.6,680,58,11,0.212,>1,216000,6200,,,3,,,,78.19362745
21-Sep-95,,Hartcliffe Way,5,13,7.4,670,72,25,0.121,>1,11400,800,,,2,,,,68.33823529
21-Sep-95,,Manor Wood,6,15,7.5,650,70,36,0.036,>1,828000,3400,,,5,,,,82.59395425
21-Sep-95,,Gas works at Malago Vale,7,13,7.5,700,71,28,0.055,>1,34000,1200,,,2,,,,70.65563725
21-Sep-95,,Lynet Way,8,13,8.2,1050,80,41,0.032,>1,928000,432000,,,8,,,,113.2761438
21-Sep-95,,Cadogan Road,10,16,7.45,980,53,44,0.096,>1,118000,94000,,,15,,,,135.7283497
22-Sep-95,,Allison Road,9,13,7.76,950,90,6,0.06,>1,156000,48000,,,3,,,,81.29166667
22-Sep-95,,St Georges Park Lake,11,16,8.2,670,92,10,0.121,0.7,4200,200,,,2,,,,76.36928105
22-Sep-95,,Dubbers Lane,12,14,7.57,970,57,28,0.143,0.24,70000,34000,,,6,,,,97.7005719
22-Sep-95,,Eastville Park Lake,13,15,8.06,690,95,42,0.032,0.14,800,200,,,8,,,,100.188317
22-Sep-95,,Snuff Mills,14,13,7.94,940,76,38,0.014,>1,3800,800,,,2,,,,81.76143791
22-Sep-95,,Mina Park ,15,14,7.74,970,89,47,0.023,>1,82000,8000,,,2,,,,77.33455882
22-Sep-95,,Conham Vale,16,15,7.5,950,79,24,0.077,>1,164000,28000,,,2,,,,75.14910131
19-Oct-95,,Hartcliffe Way,5,13,7.7,708,83,2,0.108,0.85,5200,1000,,,2,,,,71.63635621
19-Oct-95,,Manor Wood,6,14,7.7,732,83,9,0.099,0.9,270000,130000,,,2,,,,72.20106209
19-Oct-95,,Gas works at Malago Vale,7,13,7.7,830,80,23,0.03,0.95,7400,6200,,,2,,,,75.02777778
19-Oct-95,,Lynet Way,8,13,8.2,,,7,0.014,0.6,400000,>76000,,,2,,,,82.58593878
19-Oct-95,,Allison Road,9,13,7.8,806,97,36,0.042,>1,140000,66000,,,2,,,,72.9495915
19-Oct-95,,Cadogan Road,10,15,7.7,893,73,13,0.29,>1,400000,>180000,,,12,,,,120.8626634
19-Oct-95,,Mina Park ,15,14,8.02,1006,100,36,0.032,0.58,94000,8400,,,2,,,,80.29803922
19-Oct-95,,Conham Vale,16,14,8,773,89,36,0.09,>1,38000,8000,,,2,,,,76.4378268
25-Oct-95,,Trowbridge Road,2,14,7.6,639,54,22,0.06,>1,320000,260000,,,5,,,,86.55081699
25-Oct-95,,Coombe Dingle,3,12,7.7,484,62,186,0.067,0.58,160000,120000,,,3,,,,74.3253268
25-Oct-95,,Ashton vale,4,12,7.65,709,118,40,0.074,>1,60000,60000,,,3,,,,69.17826797
25-Oct-95,,St Georges Park Lake,11,13,7.9,725,70,5,0.055,0.43,2000,1800,,,2,,,,77.16911765
25-Oct-95,,Dubbers Lane,12,13,7.6,1319,56,16,0.46,>1,440000,340000,,,39,,,,248.8702614
25-Oct-95,,Eastville Park Lake,13,11,7.7,705,60,62,0.014,0.072,4600,4600,,,15,,,,131.6372549
25-Oct-95,,Snuff Mills,14,13,7.9,375,70,40,0.023,0.4,300000,300000,,,4,,,,77.56127451
30-Nov-95,,Avonmouth Rhine,1,9,6.9,1482,98,8,0.205,0.13,400,200,,,,,,,84.64800627
30-Nov-95,,Trowbridge Road,2,11,7.4,777,94,5,0.042,>1,280000,6400,,,,,,,75.9437579
30-Nov-95,,Coombe Dingle,3,9,7.2,891,94,8,0.018,>1,7000,600,,,,,,,75.75029385
30-Nov-95,,Ashton vale,4,9,7.5,826,69,13,0.128,>1,1600,1600,,,,,,,82.87488536
30-Nov-95,,Hartcliffe Way,5,10,,754,92,6,0.057,>1,60000,2000,,,,,,,73.99866824
30-Nov-95,,Manor Wood,6,10,7.9,720,101,42,0.018,>1,1200,200,,,,,,,80.57684614
30-Nov-95,,Gas works at Malago Vale,7,9,7.5,1019,109,1,0.034,>1,280000,280000,,,,,,,80.47161738
30-Nov-95,,Cadogan Road,10,12,7.5,828,105,5,0.067,>1,280000,280000,,,,,,,76.67194418
01-Dec-95,,Lynet Way,8,10,8.1,547,90,39,0.093,>1,11000,4900,,,,,,,81.29179712
01-Dec-95,,Allison Road,9,10,8,371,89,35,0.023,>1,89000,8900,,,,,,,75.88632326
01-Dec-95,,St Georges Park Lake,11,9,7.5,756,34,15,0.118,0.18,2000,450,,,,,,,87.30421542
01-Dec-95,,Dubbers Lane,12,11,7.7,898,85,26,0.231,0.1,200000,67000,,,,,,,84.66704222
01-Dec-95,,Eastville Park Lake,13,7,7.7,666,70,31,0.019,0.53,450,450,,,,,,,81.81238536
01-Dec-95,,Snuff Mills,14,9,8.1,709,106,39,0.04,0.11,3100,1300,,,,,,,82.32578405
01-Dec-95,,Mina Park ,15,11,7.7,735,99,21,0.03,>1,16000,4400,,,,,,,78.40119255
01-Dec-95,,Conham Vale,16,9,8.1,677,94,49,0.077,>1,22000,6200,,,,,,,83.65617621
15-Jan-96,,Coombe Dingle,3,5.2,7.1,830,67,130,,2.4,3400,1200,,,1,,,,64.34354575
15-Jan-96,,Trowbridge Road,2,7.6,7,820,48,75,,0.5,260000,30000,,,13,,,,117.7336601
23-Jan-96,,Coombe Dingle,3,6.3,,25,,25,,,32000,5400,,,4,,,,58.20625265
23-Jan-96,,Ashton vale,4,5.8,7.9,437,,60,,0.58,57000,8800,,,12,,,,111.3508521
23-Jan-96,,Avonmouth Rhine,1,3.8,7.5,1554,,20,,0.37,200,200,,,2,,,,88.74431618
23-Jan-96,,Trowbridge Road,2,6.5,7.7,459,,44,,1,220000,9400,,,9,,,,96.05150572
23-Jan-96,,Hartcliffe Way,5,5.5,7.8,726,,27,,2.2,96000,7600,,,5,,,,86.5168652
23-Jan-96,,Manor Wood,6,5.8,7.6,289,,51,,0.85,240000,17000,,,8,,,,86.29987173
23-Jan-96,,Gas works at Malago Vale,7,5.2,7.4,580,,60,,1.8,290000,12000,,,7,,,,85.95738807
23-Jan-96,,Lynet Way,8,6.2,8.1,353,,58,,0.9,200000,13000,,,9,,,,99.30902206
24-Jan-96,,St Georges Park Lake,11,4.5,7.6,749,,28,,0.35,53000,25000,,,8,,,,97.12340114
24-Jan-96,,Eastville Park Lake,13,2.6,7.9,649,,51,,0.18,400,200,,,5,,,,86.14300899
24-Jan-96,,Allison Road,9,5.5,7.3,676,,50,,0.4,29000,9000,,,7,,,,86.7783031
24-Jan-96,,Dubbers Lane,12,6.2,7.6,852,,37,,0.32,300000,22000,,,11,,,,112.488107
24-Jan-96,,Snuff Mills,14,4.3,8.2,712,,77,,3.3,40000,4400,,,4,,,,87.62536193
24-Jan-96,,Mina Park ,15,6.3,7.9,558,,53,,0.7,140000,44000,,,6,,,,88.31555801
24-Jan-96,,Conham Vale,16,5.5,8.2,741,,64,,0.55,80000,24000,,,5,,,,92.62144036
29-Feb-96,,Ashton vale,4,5,8.2,885,70,40,,5,36000,200,,,4,,,,93.875
29-Feb-96,,Avonmouth Rhine,1,2.4,7.2,214,50,9,,0.9,3000,400,,,4,,,,67.17990196
29-Feb-96,,Trowbridge Road,2,6.5,6.8,984,67,11,,4,340000,80000,,,12,,,,111.1043301
29-Feb-96,,Coombe Dingle,3,5.2,,6,81,6,,,33000,2400,,,2,,,,49.40107046
29-Feb-96,,Hartcliffe Way,5,5.3,8.3,770,83,12,,5.2,40000,1400,,,3,,,,86.03635621
29-Feb-96,,Vale Lane - opposite,5x,7.5,8.1,1047,91,3,,4.6,38000,5400,,,4,,,,92.60302288
29-Feb-96,,Manor Wood,6,12,8.2,698,77,12,,3.6,320000,39000,,,2,,,,79.63227124
29-Feb-96,,Gas works at Malago Vale,7,6.2,8.3,1047,96,34,,5.2,9200,200,,,4,,,,94.61078431
01-Mar-96,,St Georges Park Lake,11,5.2,9.2,719,,15,,0.3,760,200,,,24,,,,188.4436626
01-Mar-96,,Eastville Park Lake,13,3.7,8.1,818,,6,,1,200,200,,,6,,,,97.30902206
01-Mar-96,,Allison Road,9,4.6,8.8,742,,17,,3.2,18000,6600,,,4,,,,96.95869526
01-Mar-96,,Lynet Way,8,12,8.5,730,,12,,0.9,26000,22000,,,4,,,,92.36261683
01-Mar-96,,Dubbers Lane,12,9.2,7.8,2250,,19,,0,16000,12000,,,20,,,,187.0815711
01-Mar-96,,Snuff Mills,14,5.1,8.2,773,,5,,2.8,2400,800,,,2,,,,80.43320506
01-Mar-96,,Mina Park ,15,8.6,8.2,1096,,5,,0.9,8400,200,,,2,,,,88.03320506
01-Mar-96,,Conham Vale,16,5.1,8.1,710,,21,,3.4,14000,3000,,,2,,,,77.51294363
27-Mar-96,,Ashton vale,4,6.2,8.4,716,76,56,,1.5,10000,1600,,,3,25,,,87.41895425
27-Mar-96,,Avonmouth Rhine,1,7.1,8.3,1844,63,22,,3.1,200,200,,,6,,,,127.7203431
27-Mar-96,,Trowbridge Road,2,7.6,7.8,837,76,8,,5.5,40000,40000,,,4,,,,85.95228758
27-Mar-96,,Coombe Dingle,3,6.5,,12,77,12,,,9600,1000,,,3,,,,54.55041687
27-Mar-96,,Hartcliffe Way,5,7.3,8.3,720,74,26,,5,6400,1800,,,2,,,,82.10866013
27-Mar-96,,Vale Lane - opposite,5x,8.2,,1087,85,13,,7.5,11000,400,,,3,,,,78.45564563
27-Mar-96,,Manor Wood,6,7.2,8.5,712,72,16,,5,40000,3800,,,2,,,,85.14346405
27-Mar-96,,Gas works at Malago Vale,7,8.5,8.6,1029,82,33,,7.5,3800,200,,,3,,,,96.61781046
28-Mar-96,,St Georges Park Lake,11,5.9,8.1,600,,25,,0.23,60000,2400,,,10,,,,109.4345123
28-Mar-96,,Eastville Park Lake,13,9,7.8,1787,81,11,,0.09,200,200,,,7,,,,120.3783497
28-Mar-96,,Allison Road,9,5.7,5,676,96,20,,5.8,15000,4200,,,2,,,,29.80294118
28-Mar-96,,Lynet Way,8,6.4,8.5,674,80,34,,3.8,100000,1800,,,2,,,,82.86045752
28-Mar-96,,Dubbers Lane,12,7.8,8.8,690,,15,,0.26,280000,40000,,,20,46,,,164.7547737
28-Mar-96,,Snuff Mills,14,6.7,8.2,627,98,11,,6,3600,1400,,,3,,,,78.62957516
28-Mar-96,,Mina Park ,15,7.8,8.3,625,96,10,,5.3,14000,6600,,,2,,,,76.05392157
28-Mar-96,,Conham Vale,16,9,,1003,,39,,5.5,80000,7000,,,3,,,,76.90429187
25-Apr-96,,Avonmouth Rhine,1,13.7,7.6,1504,105,13,,0.33,200,200,,,8,,,,110.990768
25-Apr-96,,Trowbridge Road,2,10.6,7.7,832,84,28,,0.42,860000,60000,,,4,,,,83.00784314
25-Apr-96,,Coombe Dingle,3,10,,11,108,11,,,4000,800,,,2,,,,44.83121752
25-Apr-96,,Ashton vale,4,9.9,,776,80,31,,2.6,26000,2200,,,6,,,,84.94723059
25-Apr-96,,Ashton vale,4,,,,,,,,2400,600,,,2,21,,,69.33153538
25-Apr-96,,Hartcliffe Way,5,11.6,7.6,,,15,,2.2,39000,1400,,,3,,,,78.27221328
25-Apr-96,,Vale Lane - opposite,5x,11.9,7.5,965,,8,,2.8,5300,800,,,3,,,,79.19921814
25-Apr-96,,Gas works at Malago Vale,7,13,8.1,977,,27,,2.6,3000,200,,,2,,,,83.79529657
26-Apr-96,,St Georges Park Lake,11,14,8.9,702,,,,0.076,4600,800,,,10,,,,123.3377802
26-Apr-96,,Eastville Park Lake,13,16.6,8.8,585,,,,0.03,600,200,,,12,,,,127.7743815
26-Apr-96,,Manor Wood,6,10.8,7.6,652,,16,,2.1,160000,140000,,,3,,,,73.27242075
26-Apr-96,,Allison Road,9,10.8,8.5,644,,,,2.3,140000,1200,,,2,,,,81.71163644
26-Apr-96,,Lynet Way,8,10.7,8.4,656,,22,,1.6,8400,2800,,,2,,,,80.55608088
26-Apr-96,,Dubbers Lane,12,11.8,7.6,1984,,,,0,420000,220000,,,25,,,,199.515558
26-Apr-96,,Snuff Mills,14,12,8.9,685,,,,2.4,5000,200,,,3,,,,92.7417018
26-Apr-96,,Mina Park ,15,11.7,8.3,587,,,,2.2,14000,4200,,,2,,,,77.49464297
26-Apr-96,,Conham Vale,16,11.5,7.9,592,,,,3,15000,1600,,,5,,,,84.80183252
05-Jun-96,,Avonmouth Rhine,1,19.8,7.7,1480,,20,,0.24,200,200,,,11,,,,128.7024861
05-Jun-96,,Trowbridge Road,2,14.3,7.9,770,,4,,0.9,2200000,640000,,,25,,,,175.2645776
05-Jun-96,,Coombe Dingle,3,12.8,,8,,8,,,76000,1000,,,2,,,,49.17880167
05-Jun-96,,Ashton vale,4,13.2,7.8,1116,,22,,2.6,220000,6000,,,8,33,,,108.6345123
05-Jun-96,,Hartcliffe Way,5,15.7,8.2,713,,13,,2,4200,400,,,2,,,,79.02144036
05-Jun-96,,Vale Lane - opposite,5x,14.8,7.8,895,,11,,1,180000,2200,,,19,,,,150.8854926
05-Jun-96,,Manor Wood,6,13.7,7.6,635,,31,,0.8,820000,100000,,,8,,,,94.4410482
05-Jun-96,,Gas works at Malago Vale,7,16.2,7.9,850,,19,,0.65,360000,400,,,4,,,,86.55869526
06-Jun-96,,St Georges Park Lake,11,19,8.4,,37,73,,0.036,16000,3200,,,15,,,,149.4484036
06-Jun-96,,Eastville Park Lake,13,24.2,8.5,,86,15,,0.06,260000,200,,,28,,,,198.4577991
06-Jun-96,,Allison Road,9,13.8,8.2,,127,12,,1,680000,140000,,,3,,,,79.18288077
06-Jun-96,,Lynet Way,8,13.7,8.5,,113,9,,0.9,620000,8000,,,3,,,,85.92716182
06-Jun-96,,Dubbers Lane,12,13,7.9,,20,37,,0.01,1100000,60000,,,6,47,,,106.3867206
06-Jun-96,,Snuff Mills,14,15,8.5,,54,15,,2.4,1800,200,,,3,,,,96.17021737
06-Jun-96,,Mina Park ,15,13.2,8.2,,40,48,,1.78,520000,100000,,,3,,,,94.28704744
06-Jun-96,,Conham Vale,16,16,8.9,,156,18,,2.2,13000,3200,,,8,,,,105.7821455
26-Jun-96,,Avonmouth Rhine,1,19.5,7.5,1592,4,46,,0.14,800,400,,,38,,,,258.5699346
26-Jun-96,,Trowbridge Road,2,14.8,7.8,795,49,27,,0.2,460000,60000,,,8,,,,106.9064542
26-Jun-96,,Coombe Dingle,3,13.5,,26,63,26,,,3800,1200,,,3,,,,57.31038419
26-Jun-96,,Hartcliffe Way,5,15.2,7.7,717,66,16,,0.8,1200,200,,,2,,,,74.7995098
26-Jun-96,,Vale Lane - opposite,5x,14.6,7.5,930,56,29,,1.7,40000,800,,,2,,,,78.67156863
26-Jun-96,,Manor Wood,6,14.7,7.7,685,63,5,,5,220000,40000,,,2,,,,74.56740196
26-Jun-96,,Gas works at Malago Vale,7,14.6,7.7,900,58,2,,0.65,10000,800,,,2,,,,80.49428105
27-Jun-96,,Ashton vale,4,14.2,8.2,1123,49,19,,0.53,1600000,1100000,,,5,13,,,107.4345588
27-Jun-96,,St Georges Park Lake,11,20.3,8.6,709,49,47,,0.068,760000,540000,,,13,,,,137.9548203
27-Jun-96,,Eastville Park Lake,13,21.3,7.7,759,49,16,,0.09,160000,6800,,,7,,,,100.3077614
27-Jun-96,,Allison Road,9,15,8.3,748,68,18,,0.5,4800000,4000000,,,5,,,,96.7503268
27-Jun-96,,Lynet Way,8,14.4,8.6,782,63,19,,0.5,7500000,3200000,,,10,,,,124.3007353
27-Jun-96,,Dubbers Lane,12,13.5,7.7,2240,46,33,,0.024,8000000,4000000,,,7,31,,,135.6756536
27-Jun-96,,Snuff Mills,14,15,8.2,804,76,23,,0.6,320000,180000,,,2,,,,82.3
